
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(0.6474, grad_fn=<NllLossBackward0>)
tensor(0.6654, grad_fn=<NllLossBackward0>)
tensor(0.7075, grad_fn=<NllLossBackward0>)
tensor(0.6796, grad_fn=<NllLossBackward0>)
tensor(0.6173, grad_fn=<NllLossBackward0>)
tensor(1.3196, grad_fn=<NllLossBackward0>)
tensor(1.3033, grad_fn=<NllLossBackward0>)
tensor(0.6285, grad_fn=<NllLossBackward0>)
tensor(0.5400, grad_fn=<NllLossBackward0>)
tensor(1.8351, grad_fn=<NllLossBackward0>)
tensor(0.6304, grad_fn=<NllLossBackward0>)
tensor(0.5418, grad_fn=<NllLossBackward0>)
tensor(0.5454, grad_fn=<NllLossBackward0>)
tensor(0.6451, grad_fn=<NllLossBackward0>)
tensor(0.5587, grad_fn=<NllLossBackward0>)
tensor(0.4796, grad_fn=<NllLossBackward0>)
tensor(0.5059, grad_fn=<NllLossBackward0>)
tensor(0.4948, grad_fn=<NllLossBackward0>)
tensor(0.5217, grad_fn=<NllLossBackward0>)
tensor(0.4447, grad_fn=<NllLossBackward0>)
tensor(0.4004, grad_fn=<NllLossBackward0>)
tensor(0.3823, grad_fn=<NllLossBackward0>)
tensor(2.3708, grad_fn=<NllLossBackward0>)
tensor(2.4666, grad_fn=<NllLossBackward0>)
tensor(0.3425, grad_fn=<NllLossBackward0>)
tensor(0.3699, grad_fn=<NllLossBackward0>)
tensor(0.3357, grad_fn=<NllLossBackward0>)
tensor(0.2667, grad_fn=<NllLossBackward0>)
tensor(0.2953, grad_fn=<NllLossBackward0>)
tensor(0.3624, grad_fn=<NllLossBackward0>)
tensor(0.3862, grad_fn=<NllLossBackward0>)
tensor(0.2048, grad_fn=<NllLossBackward0>)
tensor(1.6791, grad_fn=<NllLossBackward0>)
tensor(2.0159, grad_fn=<NllLossBackward0>)
tensor(1.8727, grad_fn=<NllLossBackward0>)
tensor(0.2480, grad_fn=<NllLossBackward0>)
tensor(0.4240, grad_fn=<NllLossBackward0>)
tensor(0.2946, grad_fn=<NllLossBackward0>)
tensor(0.1922, grad_fn=<NllLossBackward0>)
tensor(1.5020, grad_fn=<NllLossBackward0>)
tensor(0.2911, grad_fn=<NllLossBackward0>)
tensor(1.5541, grad_fn=<NllLossBackward0>)
tensor(0.4737, grad_fn=<NllLossBackward0>)
tensor(0.3419, grad_fn=<NllLossBackward0>)
tensor(0.3685, grad_fn=<NllLossBackward0>)
tensor(1.9865, grad_fn=<NllLossBackward0>)
tensor(2.2176, grad_fn=<NllLossBackward0>)
tensor(0.3987, grad_fn=<NllLossBackward0>)
tensor(1.5158, grad_fn=<NllLossBackward0>)
tensor(0.2012, grad_fn=<NllLossBackward0>)
